Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
MID,460,Willock,5.0,5.0,NEW,27,1.21,23,1.02,21,1.05,22,1.03,22,1.23,23,1.17,24,1.18,24,1.13,25,1.25,25,1.16,0.1%
MID,461,Touré,6.0,6.0,NEW,40,1.89,41,1.86,40,2.06,37,1.76,40,2.35,40,2.08,41,2.06,42,2.01,43,2.15,40,1.88,0.2%
MID,462,Steur,5.0,5.0,NEW,28,1.19,25,1.01,22,1.04,22,0.96,24,1.26,26,1.19,25,1.16,27,1.20,26,1.20,26,1.14,0.1%
FWD,463,Woltemade,6.0,6.0,NEW,61,2.86,58,2.63,54,2.89,54,2.58,54,3.22,52,2.73,50,2.58,50,2.49,48,2.52,53,2.54,1.6%
FWD,464,Wissa,6.0,6.0,NEW,33,1.80,34,1.73,33,1.96,33,1.84,33,2.29,34,2.11,34,1.95,35,1.92,34,2.03,33,1.80,1.4%
FWD,465,Osula,6.0,6.0,NEW,49,2.62,48,2.44,47,2.75,46,2.48,46,3.09,46,2.72,47,2.70,45,2.44,44,2.60,44,2.40,2.2%
FWD,466,Neave,4.5,4.5,NEW,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.7%
GKP,467,Sels,5.0,5.0,NFO,94,3.64,92,2.91,92,3.39,93,3.20,92,3.93,91,3.33,91,3.11,92,3.53,91,3.17,90,2.86,1.4%
GKP,468,John,4.5,4.5,NFO,0,0.00,3,0.08,3,0.09,2,0.08,3,0.12,4,0.13,3,0.11,3,0.10,4,0.15,4,0.14,0.1%
DEF,469,N.Williams,5.0,5.0,NFO,88,4.23,84,2.49,82,3.51,79,2.80,76,4.41,77,3.20,74,2.43,73,3.43,73,2.76,72,2.35,13.3%
DEF,470,Morato,5.0,5.0,NFO,69,3.13,58,1.73,58,2.39,60,2.05,58,2.99,57,2.34,60,2.06,58,2.55,54,2.03,56,1.79,0.1%
DEF,471,Milenković,5.5,5.5,NFO,93,4.11,89,2.63,87,3.46,86,2.86,85,4.25,83,3.41,82,2.75,82,3.58,84,3.15,82,2.48,2.2%
DEF,472,Murillo,5.5,5.5,NFO,62,2.87,86,2.73,85,3.62,84,2.97,83,4.38,81,3.47,81,2.92,82,3.81,78,3.11,80,2.67,0.2%
DEF,473,Aina,4.5,4.5,NFO,88,3.53,83,2.01,82,2.92,79,2.32,78,3.72,75,2.64,74,2.13,73,2.87,72,2.28,74,1.96,5.0%
DEF,474,Jair Cunha,4.5,4.5,NFO,32,1.40,23,0.69,25,1.00,26,0.90,26,1.33,29,1.14,28,0.96,29,1.23,32,1.20,30,0.95,0.8%
DEF,475,Savona,4.5,4.5,NFO,7,0.33,12,0.39,13,0.55,16,0.55,17,0.90,19,0.77,21,0.72,20,0.87,23,0.81,21,0.65,0.0%
DEF,476,O.Richards,4.0,4.0,NFO,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.2%
DEF,477,Abbott,4.0,4.0,NFO,0,0.00,0,0.00,1,0.05,0,0.00,1,0.07,2,0.07,1,0.05,1,0.06,2,0.08,2,0.09,0.2%
DEF,478,Netz,4.5,4.5,NFO,7,0.30,10,0.32,12,0.51,15,0.53,15,0.76,15,0.62,17,0.58,18,0.79,17,0.67,19,0.62,0.0%
DEF,479,Bindon,4.0,4.0,NFO,3,0.14,3,0.11,4,0.18,5,0.17,5,0.27,6,0.27,7,0.29,9,0.39,7,0.29,7,0.27,0.2%
MID,480,Gibbs-White,8.0,8.0,NFO,88,5.09,83,3.80,82,4.60,81,3.97,78,5.11,78,4.13,77,3.28,77,4.56,75,3.83,76,3.62,12.3%
MID,481,Anderson,6.5,6.5,MCI,89,4.81,87,4.45,84,4.79,83,3.72,80,4.42,79,3.71,78,4.55,78,3.67,78,4.10,77,3.84,11.9%
MID,482,Hudson-Odoi,6.0,6.0,NFO,54,2.76,63,2.62,60,2.88,57,2.55,57,3.24,56,2.57,56,2.21,54,2.76,53,2.39,53,2.28,0.0%
MID,483,Ndoye,5.5,5.5,NFO,8,0.48,8,0.41,9,0.55,11,0.57,11,0.70,13,0.72,12,0.58,13,0.73,14,0.71,13,0.67,0.7%
MID,484,Hutchinson,5.5,5.5,NFO,36,1.84,34,1.43,34,1.64,35,1.56,37,2.00,36,1.70,38,1.55,34,1.67,36,1.66,38,1.66,0.2%
MID,485,Bakwa,5.5,5.5,NFO,11,0.66,11,0.56,12,0.70,14,0.70,16,0.94,15,0.79,17,0.73,20,1.10,18,0.91,18,0.85,0.0%
MID,486,McAtee,5.5,5.5,NFO,3,0.25,4,0.27,5,0.33,5,0.30,6,0.43,6,0.35,6,0.34,6,0.41,7,0.43,7,0.39,0.1%
MID,487,Dominguez,5.0,5.0,NFO,18,0.91,22,0.92,25,1.15,25,1.08,28,1.35,28,1.22,29,1.10,30,1.35,31,1.32,30,1.27,0.1%
MID,488,Sangaré,5.0,5.0,NFO,85,3.40,81,2.95,79,3.16,78,2.84,78,3.32,77,3.03,74,2.55,73,3.03,73,2.84,73,2.65,0.4%
MID,489,Yates,4.5,4.5,NFO,6,0.36,9,0.42,10,0.48,11,0.54,12,0.65,12,0.58,14,0.60,15,0.74,15,0.66,14,0.61,7.6%
FWD,490,Wood,6.0,6.0,NFO,29,1.71,31,1.53,31,1.75,32,1.61,34,2.15,34,1.76,34,1.52,34,1.96,36,1.80,35,1.70,1.8%
